1         you              1222421 (see also ya)
2         I or I.          1052546
3         to               823661
4         the              770161
5         a or A.          563578
6         and              480214
7         that             413389
8         it               388320
9         of               332038
10        me               312326
11        what             285826
12        is               282222
13        in               266544
14        this             249860
15        know             241548
16        I'm              230304
17        for              216535
18        no               212463
19        have             210523
20        my               210429
21        don't            206663
22        just             196810
23        not              195058
24        do               194183
25        be               191823
26        on               191646
27        your             188060
28        was              184170
29        we               181863
30        it's             176919
31        with             169586
32        so               169088
33        but              159109
34        all              158281
35        well             155201
36        are              152650
37        he               150009
38        oh               148780 (see also o)
39        about            142750
40        right            137218
41        you're           135738
42        get              126849
43        here             124368
44        out              121867
45        going            121435
46        like             121194
47        yeah             121148 (see also ya)
48        if               120553
49        her              116265
50        she              110122
51        can              107652
52        up               103826
53        want             102822
54        think            102403
55        that's           102146
56        now              100909
57        go               100905
58        him              96536
59        at               93433
60        how              87908
61        got              86085
62        there            85662
63        one              84057
64        did              79053
65        why              78554
66        see              75968
67        come             72807
68        good             72798
69        they             69192
70        really           68311
71        as               67977
72        would            67718
73        look             67262
74        when             65117
75        time             64891
76        will             64811
77        okay             63509                     (see also ok)
78        back             63115
79        can't            62602
80        mean             61504
81        tell             61352
82        I'll             61169
83        from             59972
84        hey              58699
85        were             58127
86        he's             57551
87        could            57285
88        didn't           56732
89        yes              55828
90        his              55502
91        been             55235
92        or               55062
93        something        54736
94        who              53799
95        because          53566
96        some             53265
97        had              52561
98        then             52197
99        say              50213
100       ok               49968                     (see also okay)
101       take             49868
102       an               49832
103       way              49794
104       us               49492
105       little           47885
106       make             46154
107       need             46040
108       gonna            45124
109       never            44728
110       we're            43491
111       too              43360
112       love             42994
113       she's            42795
114       I've             42160
115       sure             40757
116       them             40366
117       more             40239
118       over             40001
119       our              39896
120       sorry            39854
121       where            39330
122       what's           39305
123       let              38858
124       thing            38121
125       am               37814
126       maybe            37653
127       down             37644
128       man              37355
129       has              37145
130       uh               36435
131       very             36140
132       by               35500
133       there's          35242
134       should           34829
135       anything         34635
136       said             34568
137       much             34270
138       any              34203
139       life             34192
140       even             33895
141       off              33887
142       please           33628
143       doing            32831
144       thank            31728
145       give             31073
146       only             30599
147       thought          30211
148       help             29825
149       two              29788
150       talk             28834
151       people           28517
152       god              28502
153       still            28308
154       wait             27920
155       into             27354
156       find             26757
157       nothing          26592
158       again            26472
159       things           26305
160       let's            26132
161       doesn't          25926
162       call             25880
163       told             25594
164       great            25435
165       before           25329
166       better           25282
167       ever             25127
168       night            24900
169       than             24815
170       away             24543
171       first            24509
172       believe          24210
173       other            23936
174       feel             23850
175       everything       23714
176       work             23683
177       you've           23483
178       fine             22993
179       home             22901
180       after            22182
181       last             21965
182       these            21929
183       day              21860
184       keep             21842
185       does             21731
186       put              21617
187       around           21591
188       stop             21341
189       they're          21309
190       I'd              21221
191       guy              21126
192       long             21086
193       isn't            20796
194       always           20581
195       listen           20142
196       wanted           20074
197       Mr.              20053
198       guys             19953
199       huh              19871
200       those            19849
201       big              19520
202       lot              19421
203       happened         19282
204       thanks           19233
205       won't            19208
206       trying           19173
207       kind             19031
208       wrong            19025
209       through          18903
210       talking          18875
211       made             18872
212       new              18860
213       being            18666
214       guess            18473
215       hi               18285
216       care             18042
217       bad              17636
218       mom              17514
219       remember         17266
220       getting          17199
221       we'll            17077
222       together         17074
223       dad              17003
224       leave            16978
225       mother           16855
226       place            16796
227       understand       16724
228       wouldn't         16615
229       actually         16585
230       hear             16523
231       baby             16514
232       nice             16275
233       father           16233
234       else             16214
235       stay             16167
236       done             16010
237       wasn't           16007
238       their            15907
239       course           15866
